2026-04-08 18:13:29 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:30 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:30 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:30 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:31 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:31 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:32 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:32 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:32 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:33 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:33 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:33 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:34 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:34 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:35 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:35 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:35 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:36 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:36 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:36 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:37 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:37 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:38 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
2026-04-08 18:13:38 - quant - INFO - 回测区间：20250101 - 20250408, 共 62 个交易日
